"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 30 00:24:22 CST 2024","Thu May 30 00:24:23 CST 2024","789","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[27]",""
"failed","Thu May 30 00:24:54 CST 2024","Thu May 30 00:24:56 CST 2024","1723","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_wait7[4]",""
"passed","Thu May 30 00:24:31 CST 2024","Thu May 30 00:24:34 CST 2024","2581","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_wait3",""
"passed","Thu May 30 00:24:29 CST 2024","Thu May 30 00:24:29 CST 2024","874","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi2",""
"passed","Thu May 30 00:25:09 CST 2024","Thu May 30 00:25:10 CST 2024","528","test_case","test_ml","","","","test_multithreading[6]",""
"passed","Thu May 30 00:24:20 CST 2024","Thu May 30 00:24:21 CST 2024","911","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[26]",""
"passed","Thu May 30 00:24:15 CST 2024","Thu May 30 00:24:17 CST 2024","2164","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_search111111111111",""
"failed","Thu May 30 00:25:13 CST 2024","Thu May 30 00:25:13 CST 2024","544","test_case","test_title","TestMainPage","","","test_func2111111111",""
"passed","Thu May 30 00:25:06 CST 2024","Thu May 30 00:25:07 CST 2024","718","test_case","test_ml","","","","test_multithreading[2]",""
"passed","Thu May 30 00:25:10 CST 2024","Thu May 30 00:25:10 CST 2024","475","test_case","test_ml","","","","test_multithreading[8]",""
"failed","Thu May 30 00:24:49 CST 2024","Thu May 30 00:24:51 CST 2024","1507","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_wait7[5]",""
"passed","Thu May 30 00:24:23 CST 2024","Thu May 30 00:24:24 CST 2024","948","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[28]",""
"passed","Thu May 30 00:24:30 CST 2024","Thu May 30 00:24:36 CST 2024","5939","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi3",""
"passed","Thu May 30 00:24:18 CST 2024","Thu May 30 00:24:19 CST 2024","759","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_tieba",""
"passed","Thu May 30 00:25:10 CST 2024","Thu May 30 00:25:13 CST 2024","2506","test_case","test_title","TestMainPage","","","标题1","用例描述1"
"passed","Thu May 30 00:25:09 CST 2024","Thu May 30 00:25:10 CST 2024","448","test_case","test_ml","","","","test_multithreading[7]",""
"passed","Thu May 30 00:24:24 CST 2024","Thu May 30 00:24:24 CST 2024","761","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[29]",""
"passed","Thu May 30 00:25:08 CST 2024","Thu May 30 00:25:09 CST 2024","704","test_case","test_ml","","","","test_multithreading[5]",""
"passed","Thu May 30 00:25:07 CST 2024","Thu May 30 00:25:08 CST 2024","1039","test_case","test_ml","","","","test_multithreading[1]",""
"passed","Thu May 30 00:24:36 CST 2024","Thu May 30 00:24:42 CST 2024","5722","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi4",""
"passed","Thu May 30 00:24:18 CST 2024","Thu May 30 00:24:19 CST 2024","873","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[24]",""
"passed","Thu May 30 00:24:48 CST 2024","Thu May 30 00:24:49 CST 2024","762","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi6",""
"failed","Thu May 30 00:25:02 CST 2024","Thu May 30 00:25:03 CST 2024","1269","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_wait7[8]",""
"passed","Thu May 30 00:24:42 CST 2024","Thu May 30 00:24:48 CST 2024","5704","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi5",""
"passed","Thu May 30 00:24:24 CST 2024","Thu May 30 00:24:25 CST 2024","765","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi7",""
"failed","Thu May 30 00:24:40 CST 2024","Thu May 30 00:24:43 CST 2024","2386","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_wait7[1]",""
