"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 30 00:01:58 CST 2024","Thu May 30 00:01:58 CST 2024","274","test_case","test_ml","","","","test_multithreading[2]",""
"passed","Thu May 30 00:01:36 CST 2024","Thu May 30 00:01:36 CST 2024","391","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_tieba",""
"passed","Thu May 30 00:01:37 CST 2024","Thu May 30 00:01:37 CST 2024","576","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[20]",""
"passed","Thu May 30 00:01:39 CST 2024","Thu May 30 00:01:40 CST 2024","644","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[27]",""
"passed","Thu May 30 00:02:00 CST 2024","Thu May 30 00:02:00 CST 2024","272","test_case","test_ml","","","","test_multithreading[8]",""
"passed","Thu May 30 00:01:59 CST 2024","Thu May 30 00:02:00 CST 2024","379","test_case","test_ml","","","","test_multithreading[6]",""
"passed","Thu May 30 00:01:51 CST 2024","Thu May 30 00:01:53 CST 2024","1574","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_wait4",""
"passed","Thu May 30 00:01:55 CST 2024","Thu May 30 00:01:56 CST 2024","1164","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_wait6",""
"passed","Thu May 30 00:02:14 CST 2024","Thu May 30 00:02:14 CST 2024","255","test_case","test_ml","","","","test_multithreading[7]",""
"passed","Thu May 30 00:02:01 CST 2024","Thu May 30 00:02:03 CST 2024","2878","test_case","test_title","TestMainPage","","","标题1","用例描述1"
"passed","Thu May 30 00:01:58 CST 2024","Thu May 30 00:01:59 CST 2024","465","test_case","test_ml","","","","test_multithreading[4]",""
"passed","Thu May 30 00:01:35 CST 2024","Thu May 30 00:01:36 CST 2024","617","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_search111111111111111111",""
"passed","Thu May 30 00:01:50 CST 2024","Thu May 30 00:01:51 CST 2024","1165","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_wait3",""
"passed","Thu May 30 00:01:34 CST 2024","Thu May 30 00:01:35 CST 2024","1459","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_search111111111111",""
"passed","Thu May 30 00:01:40 CST 2024","Thu May 30 00:01:41 CST 2024","561","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[26]",""
"passed","Thu May 30 00:01:35 CST 2024","Thu May 30 00:01:37 CST 2024","1275","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[22]",""
"passed","Thu May 30 00:01:38 CST 2024","Thu May 30 00:01:39 CST 2024","623","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[24]",""
"passed","Thu May 30 00:01:44 CST 2024","Thu May 30 00:01:46 CST 2024","1421","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi1",""
"passed","Thu May 30 00:01:59 CST 2024","Thu May 30 00:01:59 CST 2024","234","test_case","test_ml","","","","test_multithreading[5]",""
"passed","Thu May 30 00:01:58 CST 2024","Thu May 30 00:01:59 CST 2024","633","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi6",""
"passed","Thu May 30 00:01:39 CST 2024","Thu May 30 00:01:40 CST 2024","592","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[25]",""
"passed","Thu May 30 00:02:13 CST 2024","Thu May 30 00:02:14 CST 2024","583","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi7",""
"passed","Thu May 30 00:01:47 CST 2024","Thu May 30 00:01:48 CST 2024","1180","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_wait1",""
"passed","Thu May 30 00:01:47 CST 2024","Thu May 30 00:01:53 CST 2024","5642","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi4",""
"passed","Thu May 30 00:01:46 CST 2024","Thu May 30 00:01:47 CST 2024","647","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi2",""
"passed","Thu May 30 00:01:40 CST 2024","Thu May 30 00:01:41 CST 2024","689","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[28]",""
"passed","Thu May 30 00:02:04 CST 2024","Thu May 30 00:02:06 CST 2024","2344","test_case","test_title","TestMainPage","","","标题2","用例描述1"
"passed","Thu May 30 00:01:57 CST 2024","Thu May 30 00:01:57 CST 2024","879","test_case","test_ml","","","","test_multithreading[1]",""
"passed","Thu May 30 00:02:09 CST 2024","Thu May 30 00:02:10 CST 2024","1354","test_case","test_title","TestMainPage","","","test_func3",""
"passed","Thu May 30 00:01:42 CST 2024","Thu May 30 00:01:44 CST 2024","2128","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_wait",""
"passed","Thu May 30 00:01:41 CST 2024","Thu May 30 00:01:42 CST 2024","643","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[29]",""
