"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 01 10:02:15 CST 2024","Sat Jun 01 10:02:20 CST 2024","4248","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[chrome-25]",""
"passed","Sat Jun 01 10:02:15 CST 2024","Sat Jun 01 10:02:18 CST 2024","2319","test_case","test_title","TestMainPage","","","标题2","用例描述2--------------------------"
"passed","Sat Jun 01 10:02:24 CST 2024","Sat Jun 01 10:02:26 CST 2024","2506","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_wait[chrome]",""
"passed","Sat Jun 01 10:02:16 CST 2024","Sat Jun 01 10:02:19 CST 2024","3380","test_case","test_title","TestMainPage","","","标题1","用例描述1-----------------------"
"passed","Sat Jun 01 10:02:24 CST 2024","Sat Jun 01 10:02:25 CST 2024","1324","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[chrome-24]",""
"passed","Sat Jun 01 10:02:16 CST 2024","Sat Jun 01 10:02:18 CST 2024","2200","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_search1[chrome]",""
"passed","Sat Jun 01 10:02:24 CST 2024","Sat Jun 01 10:02:25 CST 2024","1052","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[chrome-20]",""
"passed","Sat Jun 01 10:02:19 CST 2024","Sat Jun 01 10:02:24 CST 2024","4868","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[chrome-22]",""
"passed","Sat Jun 01 10:02:16 CST 2024","Sat Jun 01 10:02:20 CST 2024","3737","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[chrome-23]",""
"passed","Sat Jun 01 10:02:14 CST 2024","Sat Jun 01 10:02:15 CST 2024","1646","test_case","test_ml","","","","test_multithreading[chrome-1]",""
"failed","Sat Jun 01 10:02:19 CST 2024","Sat Jun 01 10:02:23 CST 2024","4024","test_case","test_title","TestMainPage","","","test_func2[chrome]",""
"passed","Sat Jun 01 10:02:24 CST 2024","Sat Jun 01 10:02:25 CST 2024","1305","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[chrome-28]",""
"failed","Sat Jun 01 10:02:26 CST 2024","Sat Jun 01 10:02:28 CST 2024","1775","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_wait7[chrome-2]",""
"failed","Sat Jun 01 10:02:18 CST 2024","Sat Jun 01 10:02:47 CST 2024","28735","test_case","test_title","TestMainPage","","","test_func4[chrome]",""
"passed","Sat Jun 01 10:02:24 CST 2024","Sat Jun 01 10:02:25 CST 2024","1043","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[chrome-26]",""
"passed","Sat Jun 01 10:02:16 CST 2024","Sat Jun 01 10:02:19 CST 2024","3608","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[chrome-27]",""
"passed","Sat Jun 01 10:02:14 CST 2024","Sat Jun 01 10:02:16 CST 2024","2226","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_search[chrome]",""
"passed","Sat Jun 01 10:02:16 CST 2024","Sat Jun 01 10:02:19 CST 2024","3621","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[chrome-29]",""
"passed","Sat Jun 01 10:02:19 CST 2024","Sat Jun 01 10:02:24 CST 2024","4823","test_case","test_title","TestMainPage","","","test_func3[chrome]",""
"passed","Sat Jun 01 10:02:16 CST 2024","Sat Jun 01 10:02:19 CST 2024","3697","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_tieba[chrome]",""
"failed","Sat Jun 01 10:02:16 CST 2024","Sat Jun 01 10:02:25 CST 2024","9318","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_wait7[chrome-1]",""
"passed","Sat Jun 01 10:02:15 CST 2024","Sat Jun 01 10:02:18 CST 2024","3301","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[chrome-21]",""
